星视界,#genre#
博斯高球-1,https://sxj.btjson.us.kg/histar.php?id=sportcast-golf1
博斯高球-2,https://sxj.btjson.us.kg/histar.php?id=sportcast-golf2
博斯魅力,https://sxj.btjson.us.kg/histar.php?id=sportcast-meili
ESPN,https://sxj.btjson.us.kg/histar.php?id=espn
ESPN 2,https://sxj.btjson.us.kg/histar.php?id=espn2
ESPN 3,https://sxj.btjson.us.kg/histar.php?id=espn3
ESPN 4,https://sxj.btjson.us.kg/histar.php?id=espn4
myTV SUPER直播足球1台,https://sxj.btjson.us.kg/histar.php?id=mytv-super-soccer1
myTV SUPER直播足球2台,https://sxj.btjson.us.kg/histar.php?id=mytv-super-soccer2
myTV SUPER直播足球3台,https://sxj.btjson.us.kg/histar.php?id=mytv-super-soccer3
myTV SUPER直播足球4台,https://sxj.btjson.us.kg/histar.php?id=mytv-super-soccer4
myTV SUPER 18,https://sxj.btjson.us.kg/histar.php?id=mytvsuper-18
纬来体育,https://sxj.btjson.us.kg/histar.php?id=videoland-sport
NBA,https://sxj.btjson.us.kg/histar.php?id=nba
WWE,https://sxj.btjson.us.kg/histar.php?id=wwe
DAZN 1,https://sxj.btjson.us.kg/histar.php?id=eleven-sport1
DAZN 2,https://sxj.btjson.us.kg/histar.php?id=eleven-sport2
Eurosports-1,https://sxj.btjson.us.kg/histar.php?id=eurosports-1
SPOTV,https://sxj.btjson.us.kg/histar.php?id=spotv
SPOTV-2,https://sxj.btjson.us.kg/histar.php?id=spotv2
时尚运动 X,https://sxj.btjson.us.kg/histar.php?id=ssydx
GINX Esports TV,https://sxj.btjson.us.kg/histar.php?id=ginx-esports
Tech Storm,https://sxj.btjson.us.kg/histar.php?id=tech-storm
TRACE Sport Stars,https://sxj.btjson.us.kg/histar.php?id=trace-sport-stars
W-Sport,https://sxj.btjson.us.kg/histar.php?id=w-sport
PremierSports,https://sxj.btjson.us.kg/histar.php?id=premiersports
智林体育台,https://sxj.btjson.us.kg/histar.php?id=zl-sports

新时代电视,https://sxj.btjson.us.kg/histar.php?id=fairchildtv
新时代电视二台,https://sxj.btjson.us.kg/histar.php?id=fairchildtv2
城市电视,https://sxj.btjson.us.kg/histar.php?id=talentvisiontv
HBO HD,https://sxj.btjson.us.kg/histar.php?id=hbo-hd
HBO Hits HD,https://sxj.btjson.us.kg/histar.php?id=hbo-hits-hd
HBO Family HD,https://sxj.btjson.us.kg/histar.php?id=hbo-family
HBO Signature HD,https://sxj.btjson.us.kg/histar.php?id=hbo-signature
Cinemax,https://sxj.btjson.us.kg/histar.php?id=cinemax
CNN International,https://sxj.btjson.us.kg/histar.php?id=cnn-international
好莱坞电影,https://sxj.btjson.us.kg/histar.php?id=hollywood-movie
ROCK Action,https://sxj.btjson.us.kg/histar.php?id=rock-action
ROCK Entertainment,https://sxj.btjson.us.kg/histar.php?id=rock-entertaiment
Bloomberg,https://sxj.btjson.us.kg/histar.php?id=bloomberg
amc 最爱电影,https://sxj.btjson.us.kg/histar.php?id=amc-movie
美国中文电视,https://sxj.btjson.us.kg/histar.php?id=sinovision
Lifetime 娱乐频道,https://sxj.btjson.us.kg/histar.php?id=lifetime
HLN,https://sxj.btjson.us.kg/histar.php?id=cnn-hln
fun 探索娱乐台,https://sxj.btjson.us.kg/histar.php?id=festival4k
Euronews,https://sxj.btjson.us.kg/histar.php?id=euronews
MyCinema Europe HD,https://sxj.btjson.us.kg/histar.php?id=mycinema-europe
VOA 美国之音,https://sxj.btjson.us.kg/histar.php?id=voa
DW 德国之声,https://sxj.btjson.us.kg/histar.php?id=dw
CNN,https://sxj.btjson.us.kg/histar.php?id=cnn
ABC News,https://sxj.btjson.us.kg/histar.php?id=abc-news
BBC World News,https://sxj.btjson.us.kg/histar.php?id=bbc-world-news
CNBC,https://sxj.btjson.us.kg/histar.php?id=cnbc

CCTV-1 综合,https://sxj.btjson.us.kg/histar.php?id=cctv1
CCTV-2 财经,https://sxj.btjson.us.kg/histar.php?id=cctv2
CCTV-3 综艺,https://sxj.btjson.us.kg/histar.php?id=cctv3
CCTV-4 中文国际,https://sxj.btjson.us.kg/histar.php?id=cctv4
CCTV-5 体育,https://sxj.btjson.us.kg/histar.php?id=cctv5
CCTV-5+ 体育赛事,https://sxj.btjson.us.kg/histar.php?id=cctv5plus
CCTV-6 电影,https://sxj.btjson.us.kg/histar.php?id=cctv6
CCTV-7 国防军事,https://sxj.btjson.us.kg/histar.php?id=cctv7
CCTV-8 电视剧,https://sxj.btjson.us.kg/histar.php?id=cctv8
CCTV-9 纪录,https://sxj.btjson.us.kg/histar.php?id=cctv9
CCTV-10 科教,https://sxj.btjson.us.kg/histar.php?id=cctv10
CCTV-11 戏曲,https://sxj.btjson.us.kg/histar.php?id=cctv11
CCTV-12 社会与法,https://sxj.btjson.us.kg/histar.php?id=cctv12
CCTV-13 新闻,https://sxj.btjson.us.kg/histar.php?id=cctv13
CCTV-14 少儿,https://sxj.btjson.us.kg/histar.php?id=cctv14
CCTV-15 音乐,https://sxj.btjson.us.kg/histar.php?id=cctv15
CCTV-16 奥林匹克,https://sxj.btjson.us.kg/histar.php?id=cctv16
CCTV-17 农业农村,https://sxj.btjson.us.kg/histar.php?id=cctv17
CHC家庭影院,https://sxj.btjson.us.kg/histar.php?id=chc-jtyy
CHC动作电影,https://sxj.btjson.us.kg/histar.php?id=chc-dzdy
CHC高清电影,https://sxj.btjson.us.kg/histar.php?id=chc-gqdy
重温经典,https://sxj.btjson.us.kg/histar.php?id=cwjd

CCTV1测试,https://sxj.btjson.us.kg/histar.php?id=testcctv1
CCTV2测试,https://sxj.btjson.us.kg/histar.php?id=testcctv2
CCTV3测试,https://sxj.btjson.us.kg/histar.php?id=testcctv3
CCTV4测试,https://sxj.btjson.us.kg/histar.php?id=testcctv4
CCTV5测试,https://sxj.btjson.us.kg/histar.php?id=testcctv5
Astro AEC测试,https://sxj.btjson.us.kg/histar.php?id=testaec
Astro QJ测试,https://sxj.btjson.us.kg/histar.php?id=testqj
Channel 5 测试,https://sxj.btjson.us.kg/histar.php?id=testchannel5
Channel 8 测试,https://sxj.btjson.us.kg/histar.php?id=testchannel8
SPOTV 测试,https://sxj.btjson.us.kg/histar.php?id=testsportv
SPOTV 2 测试,https://sxj.btjson.us.kg/histar.php?id=testspotv2
大湾区卫视,https://sxj.btjson.us.kg/histar.php?id=testdwqws

湖南卫视,https://sxj.btjson.us.kg/histar.php?id=hunan
浙江卫视,https://sxj.btjson.us.kg/histar.php?id=zhejiang
东方卫视,https://sxj.btjson.us.kg/histar.php?id=dongfang
江苏卫视,https://sxj.btjson.us.kg/histar.php?id=jiangsu
北京卫视,https://sxj.btjson.us.kg/histar.php?id=beijing
深圳卫视,https://sxj.btjson.us.kg/histar.php?id=shenzhen
广东卫视,https://sxj.btjson.us.kg/histar.php?id=guangdong
大湾区卫视,https://sxj.btjson.us.kg/histar.php?id=gdwqws
重庆卫视,https://sxj.btjson.us.kg/histar.php?id=chongqing
东南卫视,https://sxj.btjson.us.kg/histar.php?id=dongnan
广西卫视,https://sxj.btjson.us.kg/histar.php?id=guangxi
贵州卫视,https://sxj.btjson.us.kg/histar.php?id=guizhou
海南卫视,https://sxj.btjson.us.kg/histar.php?id=hainan
河北卫视,https://sxj.btjson.us.kg/histar.php?id=hebei
黑龙江卫视,https://sxj.btjson.us.kg/histar.php?id=heilongjiang
湖北卫视,https://sxj.btjson.us.kg/histar.php?id=hubei
江西卫视,https://sxj.btjson.us.kg/histar.php?id=jiangxi
吉林卫视,https://sxj.btjson.us.kg/histar.php?id=jilin
辽宁卫视,https://sxj.btjson.us.kg/histar.php?id=liaoning
内蒙古卫视,https://sxj.btjson.us.kg/histar.php?id=neimenggu
宁夏卫视,https://sxj.btjson.us.kg/histar.php?id=ningxia
陕西卫视,https://sxj.btjson.us.kg/histar.php?id=shaanxi
山东卫视,https://sxj.btjson.us.kg/histar.php?id=shandong
